"Anarchism","5252"
"Autism","558"
"Albedo","490"
"AbbevilleFrance","11"
"A","2377"
"Alabama","1541"
"Achilles","1860"
"Abraham_Lincoln","8013"
"Aristotle","4612"
"An_American_in_Paris","276"
"Academy_Award","3138"
"Actors","75"
"Actrius","12"
"Animalia_(book)","256"
"International_Atomic_Time","501"
"Altruism","1187"
"Ang_Lee","307"
"Ayn_Rand","1585"
"Alain_Connes","333"
"Allan_Dwan","115"
"Economy_of_Algeria","363"
"Algeria","1813"
"Characters_in_Atlas_Shrugged","2291"
"Things_in_Atlas_Shrugged","418"
"Topics_of_note_in_Atlas_Shrugged","646"
"Atlas_Shrugged","3167"
"Anthropology","6013"
"Archaeology","6415"
"Agricultural_science","630"
"Alchemy","2126"
"Automatic_dependent_surveillance-broadcast","100"
"Austria","3308"
"American_Samoa","588"
"Alien","730"
"Astronomer","1260"
"Amoeboid","756"
"ASCII","3559"
"Austin","138"
"Ascii_Art","20"
"Animation","2807"
"Apollo","3346"
"Andre_Agassi","894"
"Austro-Asiatic_languages","504"
"Afro-Asiatic_languages","1385"
"Andorra","1031"
"Andorra/People","21"
"Andorra/Government","22"
"Andorra/Economy","20"
"Andorra/Transportation","12"
"Arithmetic_mean","1482"
"American_Football_Conference","115"
"Animal_Farm","530"
"Amphibian","538"
"Aves","11"
"Alaska","1527"
"Architecture_(disambiguation)","5980"
"Auteur_Theory_Film","27"
"Agriculture","6005"
"Aldous_Huxley","669"
"Ada","188"
"Aberdeen_(disambiguation)","446"
"Algae","1018"
"Analysis_of_variance","1397"
"Alkane","1467"
"Appeal","222"
"Answer","177"
"Appellate_court","151"
"Arithmetic_and_logic_unit","27"
"Actress","36"
"Arraignment","157"
"Abbeville_France","283"
"America_the_Beautiful","249"
"Assistive_technology","97"
"Accessible_computing","111"
"Abacus","1421"
"Acid","1341"
"Asphalt","502"
"Acronym","1290"
"American_National_Standards_Institute","1099"
"Argument_(disambiguation)","579"
"Apollo_11","935"
"Apollo_8","173"
"Astronaut","1165"
"A_Modest_Proposal","398"
"Alkali_metal","1837"
"Argument_form","798"
"Allotrope","55"
"Alphabet","6892"
"Atomic_number","1840"
"Anatomy","3501"
"Affirming_the_consequent","942"
"Andrei_Tarkovsky","646"
"Ambiguity","636"
"Abel","209"
"Animal_(disambiguation)","35"
"Aardvark","474"
"Aardwolf","140"
"Adobe","464"
"Adventure","221"
"Agave","358"
"Asia","4047"
"Aruba","611"
"Articles_of_Confederation","682"
"Asia_Minor","64"
"Aa_River","197"
"Arthur_Koestler","404"
"Atlantic_Ocean","5157"
"Arthur_Schopenhauer","637"
"Angola","1020"
"Geography_of_Angola","210"
